"File","Category","Action","Reason"
"execute_final_sql.ts","G","KEEP","Unknown"
"execute_rc2_migration.cjs","C","MOVE (maintenance/)","Migration Utility"
"fetch_gcp_active.cjs","G","KEEP","Unknown"
"fetch_gcp_api.cjs","G","KEEP","Unknown"
"finalize_employee_master_drop.cjs","G","KEEP","Unknown"
"find_anti_patterns.cjs","E","DELETE","Debug Utility"
"find_basavaraj.cjs","E","DELETE","Debug Utility"
"find_edit_modal_inputs.cjs","E","DELETE","Debug Utility"
"find_employee_interface.cjs","E","DELETE","Debug Utility"
"find_exact_import_logic.cjs","E","DELETE","Debug Utility"
"find_exact_try.ts","E","DELETE","Debug Utility"
"find_jobcard_interface.cjs","E","DELETE","Debug Utility"
"find_jobcard_types.cjs","E","DELETE","Debug Utility"
"find_listen.cjs","E","DELETE","Debug Utility"
"find_mustafa_password.cjs","E","DELETE","Debug Utility"
"find_render_master_line.cjs","E","DELETE","Debug Utility"
"find_sayeed_user.cjs","E","DELETE","Debug Utility"
"find_schemas.cjs","E","DELETE","Debug Utility"
"find_unmatched_try.ts","E","DELETE","Debug Utility"
"find_unmatched_try2.ts","E","DELETE","Debug Utility"
"find_uploader_bounds.cjs","E","DELETE","Debug Utility"
"fix_leftover.ts","D","DELETE","One-Time Patch/Script"
"fix_server_end.ts","D","DELETE","One-Time Patch/Script"
"forensic_db.cjs","G","KEEP","Unknown"
"generate_audit_report.cjs","A","MOVE (scripts/)","Reusable Engineering Utility"
"generate_checklist.ts","A","MOVE (scripts/)","Reusable Engineering Utility"
"generate_role_directories.ts","A","MOVE (scripts/)","Reusable Engineering Utility"
"generate_training_spreadsheets.ts","A","MOVE (scripts/)","Reusable Engineering Utility"
"get_row_counts.cjs","G","KEEP","Unknown"
"get_service_profiles.ts","G","KEEP","Unknown"
"import_production_csvs.cjs","G","KEEP","Unknown"
"inspect_character_by_character.cjs","E","DELETE","Debug Utility"
"inspect_db_state.cjs","E","DELETE","Debug Utility"
"inspect_lines.cjs","E","DELETE","Debug Utility"
"inspect_parsed.cjs","E","DELETE","Debug Utility"
"inspect_raw.cjs","E","DELETE","Debug Utility"
"ka32aa9194_history.json","F","DELETE","Generated Output"
"ka32aa9194_invoices.json","F","DELETE","Generated Output"
"list_users.cjs","G","KEEP","Unknown"
"live_production_verification.ts","B","MOVE (test-infra/)","Reusable Test Infra"
"live_uat_ass2a.ts","B","MOVE (test-infra/)","Reusable Test Infra"
"load_csv_data.cjs","G","KEEP","Unknown"
"login_test.cjs","G","KEEP","Unknown"
"migrate_employee_data.cjs","G","KEEP","Unknown"
"migrate_memory_to_gcp.cjs","G","KEEP","Unknown"
"migrate_p1_001.ts","G","KEEP","Unknown"
"migrate_p1_003.ts","G","KEEP","Unknown"
"mismatches.json","F","DELETE","Generated Output"
"name_based_reconciliation.cjs","G","KEEP","Unknown"
"parse_test.cjs","G","KEEP","Unknown"
"parse_test_utf16.cjs","G","KEEP","Unknown"
"patch_bays.cjs","D","DELETE","One-Time Patch/Script"
"patch_employees.cjs","D","DELETE","One-Time Patch/Script"
"patch_override_route.cjs","D","DELETE","One-Time Patch/Script"
"patch_server_routes.cjs","D","DELETE","One-Time Patch/Script"
"performance_benchmark.ts","B","MOVE (test-infra/)","Reusable Test Infra"
"print_lines.cjs","G","KEEP","Unknown"
"production_migration.ts","C","MOVE (maintenance/)","Migration Utility"
"qa_import_results.json","F","DELETE","Generated Output"
"qa_import_validation.ps1","E","DELETE","Debug Utility"
"query_production_schema.cjs","G","KEEP","Unknown"
"query_prod_admin.cjs","G","KEEP","Unknown"
"query_users.cjs","G","KEEP","Unknown"
"rc1_simulation.ts","G","KEEP","Unknown"
"rc1_simulation_results.json","F","DELETE","Generated Output"
"replace_importer.cjs","G","KEEP","Unknown"
"resolve_unmatched_employees.cjs","D","DELETE","One-Time Patch/Script"
"restore_employee_master.cjs","D","DELETE","One-Time Patch/Script"
"routes.txt","F","DELETE","Generated Output"
"run_all_tests.js","A","MOVE (scripts/)","Reusable Engineering Utility"
"run_api_verif_v2.cjs","B","MOVE (test-infra/)","Reusable Test Infra"
"run_business_uat.cjs","A","MOVE (scripts/)","Reusable Engineering Utility"
"run_certified_etl.cjs","C","MOVE (maintenance/)","Migration Utility"
"run_cloudrun_smoke_tests.cjs","B","MOVE (test-infra/)","Reusable Test Infra"
"run_isolated.cjs","B","MOVE (scripts/)","Reusable Test Infra"
"run_live_uat.cjs","B","MOVE (test-infra/)","Reusable Test Infra"
"run_migration.ts","C","MOVE (maintenance/)","Migration Utility"
"run_migration_0010.js","C","MOVE (maintenance/)","Migration Utility"
"run_negative_tests.cjs","A","MOVE (scripts/)","Reusable Engineering Utility"
"run_pilot_hypercare.cjs","A","MOVE (scripts/)","Reusable Engineering Utility"
"run_rbac_verif.cjs","B","MOVE (test-infra/)","Reusable Test Infra"
"run_rc2_audit.cjs","B","MOVE (test-infra/)","Reusable Test Infra"
"search_advisor.cjs","E","DELETE","Debug Utility"
"search_alerts.cjs","E","DELETE","Debug Utility"
"search_alert_logs.cjs","E","DELETE","Debug Utility"
"search_app_create_job.cjs","E","DELETE","Debug Utility"
"search_app_empid.cjs","E","DELETE","Debug Utility"
"search_app_employee_handlers.cjs","E","DELETE","Debug Utility"
"search_app_employee_updates.cjs","E","DELETE","Debug Utility"
"search_app_gate.cjs","E","DELETE","Debug Utility"
"search_app_profile_perm.cjs","E","DELETE","Debug Utility"
"search_app_tabs.cjs","E","DELETE","Debug Utility"
"search_assignment_ui.cjs","E","DELETE","Debug Utility"
"search_auth_middleware.cjs","E","DELETE","Debug Utility"
"search_backdated_end.cjs","E","DELETE","Debug Utility"
"search_backdated_uploader.cjs","E","DELETE","Debug Utility"
"search_cpsc_routes.cjs","E","DELETE","Debug Utility"
"search_deploy.cjs","E","DELETE","Debug Utility"
"search_dms_importer_modes.cjs","E","DELETE","Debug Utility"
"search_dump.cjs","E","DELETE","Debug Utility"
"search_dump_views.cjs","E","DELETE","Debug Utility"
"search_edit_fields.cjs","E","DELETE","Debug Utility"
"search_edit_modal_start.cjs","E","DELETE","Debug Utility"
"search_employees_sync.cjs","E","DELETE","Debug Utility"
"search_employee_any.cjs","E","DELETE","Debug Utility"
"search_employee_certs.cjs","E","DELETE","Debug Utility"
"search_employee_directory.cjs","E","DELETE","Debug Utility"
"search_employee_endpoints.cjs","E","DELETE","Debug Utility"
"search_employee_fields.cjs","E","DELETE","Debug Utility"
"search_employee_handlers.cjs","E","DELETE","Debug Utility"
"search_employee_list_view.cjs","E","DELETE","Debug Utility"
"search_employee_put_route.cjs","E","DELETE","Debug Utility"
"search_employee_type_line.cjs","E","DELETE","Debug Utility"
"search_handleAddEmployee.cjs","E","DELETE","Debug Utility"
"search_history_endpoint.cjs","E","DELETE","Debug Utility"
"search_import_endpoints.cjs","E","DELETE","Debug Utility"
"search_job_card_allocations.cjs","E","DELETE","Debug Utility"
"search_job_card_updates.cjs","E","DELETE","Debug Utility"
"search_jwt_sign.cjs","E","DELETE","Debug Utility"
"search_login_creds.cjs","E","DELETE","Debug Utility"
"search_otp.cjs","E","DELETE","Debug Utility"
"search_pass.cjs","E","DELETE","Debug Utility"
"search_permissions_end.cjs","E","DELETE","Debug Utility"
"search_roletabs_refs.cjs","E","DELETE","Debug Utility"
"search_routes.cjs","E","DELETE","Debug Utility"
"search_server_endpoints.cjs","E","DELETE","Debug Utility"
"search_setdb.cjs","E","DELETE","Debug Utility"
"search_special_panels.cjs","E","DELETE","Debug Utility"
"search_sync_attendance.cjs","E","DELETE","Debug Utility"
"search_sync_certification.cjs","E","DELETE","Debug Utility"
"search_sync_ts.cjs","E","DELETE","Debug Utility"
"search_tabs_usermgmt.cjs","E","DELETE","Debug Utility"
"search_tab_blocks.cjs","E","DELETE","Debug Utility"
"search_tech_profile.cjs","E","DELETE","Debug Utility"
"search_transcript.cjs","E","DELETE","Debug Utility"
"search_types.cjs","E","DELETE","Debug Utility"
"search_user_mgmt.cjs","E","DELETE","Debug Utility"
"search_vehicle_lookup.cjs","E","DELETE","Debug Utility"
"search_warranty_form.cjs","E","DELETE","Debug Utility"
"search_warranty_routes.cjs","E","DELETE","Debug Utility"
"search_warranty_states.cjs","E","DELETE","Debug Utility"
"search_warranty_validate.cjs","E","DELETE","Debug Utility"
"simulate_load.cjs","B","MOVE (test-infra/)","Reusable Test Infra"
"simulation_results.json","F","DELETE","Generated Output"
"sla_schema.ts","G","KEEP","Unknown"
"smoke_test.ts","B","MOVE (test-infra/)","Reusable Test Infra"
"sprint3_1_migration.ts","C","MOVE (maintenance/)","Migration Utility"
"sprint3_1_rollback.ts","G","KEEP","Unknown"
"sprint3_full_regression.ts","G","KEEP","Unknown"
"stress_test.ts","B","MOVE (test-infra/)","Reusable Test Infra"
"sync_now.ts","A","MOVE (scripts/)","Engineering Utility"
"sync_passwords.ts","G","KEEP","Unknown"
"task1_6_migrate_and_validate.ts","G","KEEP","Unknown"
"task1_password_audit.ts","G","KEEP","Unknown"
"task4_header_check.ts","G","KEEP","Unknown"
"task4_security_regression.ts","G","KEEP","Unknown"
"test_all_robust.cjs","B","MOVE (test-infra/)","Reusable Test Infrastructure"
"test_alter.ts","E","DELETE","Debug Utility"
"test_api_endpoints.cjs","E","DELETE","Debug Utility"
"test_api_response.cjs","E","DELETE","Debug Utility"
"test_cache_match.cjs","E","DELETE","Debug Utility"
"test_clean.cjs","E","DELETE","Debug Utility"
"test_cloudsql.cjs","E","DELETE","Debug Utility"
"test_concurrency.cjs","E","DELETE","Debug Utility"
"test_duplicate_customer.ts","E","DELETE","Debug Utility"
"test_facade_direct.cjs","E","DELETE","Debug Utility"
"test_gcp_conn.cjs","E","DELETE","Debug Utility"
"test_passport_aggregate.cjs","E","DELETE","Debug Utility"
"test_perfect_clean.cjs","E","DELETE","Debug Utility"
"test_pg.cjs","E","DELETE","Debug Utility"
"test_pg.js","E","DELETE","Debug Utility"
"test_production_uat.cjs","B","MOVE (test-infra/)","Reusable Test Infrastructure"
"test_robust.cjs","B","MOVE (test-infra/)","Reusable Test Infrastructure"
"test_script.ts","E","DELETE","Debug Utility"
"test_service_real_runs.ts","E","DELETE","Debug Utility"
"test_sync_load.cjs","E","DELETE","Debug Utility"
"test_sync_load.ts","E","DELETE","Debug Utility"
"test_tsv_lookup.cjs","E","DELETE","Debug Utility"
"trace_login_runtime.cjs","G","KEEP","Unknown"
"try_load_data.cjs","G","KEEP","Unknown"
"uat_raw_results.json","F","DELETE","Generated Output"
"upload_via_api.cjs","G","KEEP","Unknown"
"uptime_sim.ts","B","MOVE (test-infra/)","Reusable Test Infra"
"User_Employee_Link_Report.md","F","DELETE","Generated Output"
"validation_results.json","F","DELETE","Generated Output"
"verify-breakdowns-rc2.ts","G","KEEP","Unknown"
"verify_certification_audit.cjs","E","DELETE","One-time debug/verify"
"verify_db.cjs","E","DELETE","Debug Utility"
"verify_gcp.cjs","E","DELETE","Debug Utility"
"verify_reconciliation.cjs","E","DELETE","One-time debug/verify"
"verify_sprint3_schema.ts","E","DELETE","Debug Utility"
"view_gcp_rows.cjs","E","DELETE","Debug Utility"
"view_server_boot.cjs","E","DELETE","Debug Utility"
"visits_table.md","F","DELETE","Generated Output"
